Hisse,AI Score,Sinyal,Dip Puanı,Fib Puanı,Dip Durumu,Fib Durumu
AKBNK,64.3,IZLE,58,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
YKBNK,64.3,IZLE,58,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
SANKO,64.3,IZLE,58,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
SEKFK,64.3,IZLE,58,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
DSTKF,63.95,IZLE,62,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
MAKTK,63.45,IZLE,57,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
SILVR,62.25,IZLE,60,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
CEMTS,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
DESA,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BARMA,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
TEZOL,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BTCIM,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
ARZUM,61.75,IZLE,55,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BURVA,60.55,IZLE,58,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
TMSN,60.05,IZLE,53,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
UNLU,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
MEPET,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
KATMR,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
ATAGY,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
A1CAP,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
VRGYO,59.2,IZLE,52,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
EUYO,58.35,IZLE,51,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BANVT,58.0,IZLE,55,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
ERBOS,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
ZEDUR,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
SAHOL,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BFREN,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
KAYSE,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
SAMAT,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
QNBTR,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
BEGYO,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
PKENT,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
PGSUS,57.5,IZLE,50,100,IZLEME_BOLGESI,FIB_ABSOLUTE_BOTTOM
YBTAS,55.8,IZLE,48,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
COSMO,55.8,IZLE,48,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
TTRAK,55.8,IZLE,48,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
YAPRK,55.8,IZLE,48,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
IHLAS,55.8,IZLE,48,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
RYSAS,55.45,IZLE,52,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
MAALT,55.45,IZLE,52,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
AKYHO,54.95,IZLE,47,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
PSDTC,53.75,IZLE,50,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
VSNMD,53.75,IZLE,50,75,IZLEME_BOLGESI,FIB_EARLY_REBOUND
MEGAP,53.25,IZLE,45,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KRGYO,53.25,IZLE,45,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
POLTK,53.25,IZLE,45,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ARENA,53.25,IZLE,45,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
HATEK,52.9,IZLE,49,75,DIP_DEGIL,FIB_EARLY_REBOUND
HTTBT,52.4,IZLE,44,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
EKIZ,52.4,IZLE,44,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
DOKTA,52.4,IZLE,44,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SKBNK,52.05,IZLE,48,75,DIP_DEGIL,FIB_EARLY_REBOUND
SAFKR,51.55,IZLE,43,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KLNMA,50.7,IZLE,42,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
GARAN,50.7,IZLE,42,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
DITAS,50.7,IZLE,42,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
MERIT,50.2,IZLE,52,40,IZLEME_BOLGESI,FIB_MID_ZONE
DGNMO,49.95,BEKLE,57,10,IZLEME_BOLGESI,FIB_HIGH_ZONE
OYYAT,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
YIGIT,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KONKA,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
