Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
UNLU,22,43,3,22.0,21.5,3.0,17.07,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
VSNMD,35,39,3,35.0,19.5,3.0,17.07,ALMA,EARLY_REBOUND,WEAK,HEAVY_DISTRIBUTION
KATMR,26,44,0,26.0,22.0,0.0,16.9,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
PAPIL,20,43,3,20.0,21.5,3.0,16.88,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
DOAS,25,43,0,25.0,21.5,0.0,16.48,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
BRKVY,28,39,3,28.0,19.5,3.0,16.38,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION
SNGYO,22,43,0,22.0,21.5,0.0,16.18,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
MPARK,21,43,0,21.0,21.5,0.0,16.07,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
LYDHO,24,41,0,24.0,20.5,0.0,15.73,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
KLRHO,27,38,0,27.0,19.0,0.0,15.05,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION
QUAGR,24,37,0,24.0,18.5,0.0,14.43,ALMA,BOTTOM_SIDEWAYS,WEAK,HEAVY_DISTRIBUTION
